"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-01",,,,,,,,,,,,,"391.2",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-02",,,,,,,,,,,,,"391.2",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-03",,,,,,,,,,,,,"391.2",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-04",,,,,,,,,,,,,"391.2",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-05",,,,,,,,,,,,,"398.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-06",,,,,,,,,,,,,"398.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-07",,,,,,,,,,,,,"398.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-08",,,,,,,,,,,,,"398.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-09",,,,,,,,,,,,,"398.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-10",,,,,,,,,,,,,"398.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-11",,,,,,,,,,,,,"398.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-12",,,,,,,,,,,,,"477.5",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-13",,,,,,,,,,,,,"480.1",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-14",,,,,,,,,,,,,"492.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-15",,,,,,,,,,,,,"495.3",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-16",,,,,,,,,,,,,"535.9",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-17",,,,,,,,,,,,,"627.4",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-18",,,,,,,,,,,,,"660.4",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-19",,,,,,,,,,,,,"703.6",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-20",,,,,,,,,,,,,"716.3",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-21",,,,,,,,,,,,,"777.2",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-22",,,,,,,,,,,,,"823.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-23",,,,,,,,,,,,,"828.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-24",,,,,,,,,,,,,"828.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-25",,,,,,,,,,,,,"828.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-26",,,,,,,,,,,,,"828.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-27",,,,,,,,,,,,,"828.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-28",,,,,,,,,,,,,"828.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-29",,,,,,,,,,,,,"828.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-30",,,,,,,,,,,,,"828.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-01-31",,,,,,,,,,,,,"828.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-02-01",,,,,,,,,,,,,"845.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-02-02",,,,,,,,,,,,,"873.8",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-02-03",,,,,,,,,,,,,"909.3",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-02-04",,,,,,,,,,,,,"960.1",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-02-05",,,,,,,,,,,,,"1049.0",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-02-06",,,,,,,,,,,,,"1084.6",",,T"
"USS0049L01S","MOUNT ALYESKA, AK US","60.96","-149.09","469.4","1980-02-07",,,,,,,,,,,,,"1117.6",",,T"
